Document_No,Topic_Num,Topic_Perc_Contrib,Keywords,Text,Title,url
114868,0.0,0.7639999985694885,"student, education, learning, online, school, training, university, program, skill, educational",during the covid-19 pandemic universities around the globe frantically and emergently switched to remote teaching this commentary provides the perspective from a teaching and learning center about the difference between emergency remote teaching and online learning plus suggestions for preparing for an online fall semester,Perspective from a Teaching and Learning Center During Emergency Remote Teaching.,https://doi.org/10.5688/ajpe8142; https://www.ncbi.nlm.nih.gov/pubmed/32934391/
95651,0.0,0.7265999913215637,"student, education, learning, online, school, training, university, program, skill, educational",remote learning has been thrust into the spotlight as colleges and universities moved their traditionally face‐to‐face campus programs to online platforms in response to the covid‐19 pandemic,Promote an unexpected online experience through richer content,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7323578/
228394,0.0,0.7056999802589417,"student, education, learning, online, school, training, university, program, skill, educational",laboratory classes are a cornerstone of physiology education enabling students to develop essential knowledge and skills recent moves toward utilizing blended options to support face-to-face classes with online materials are beneficial but using solely online classes may not produce similar learning gains during 2020 the global pandemic meant a loss of face-to-face teaching such that laboratory classes were rapidly transitioned to online delivery this study explores the impact of this shift on undergraduate students evaluating their use of the online laboratory classes and the impact this had on their examination performance and their perceptions of learning student use of the online laboratory classes varied with those spending more time performing better on examinations students valued the online classes finding them helpful for their learning but also felt that the lack of face-to-face laboratory classes and interactions with peers and teaching staff was detrimental to their learning experience overall academic performance of online learners was comparable to previous years but may indicate some underlying deficits,Do-it-yourself physiology labs: Can hands-on laboratory classes be effectively replicated online?,https://doi.org/10.1152/advan.00205.2020; https://www.ncbi.nlm.nih.gov/pubmed/33529143/
149985,0.0,0.675000011920929,"student, education, learning, online, school, training, university, program, skill, educational",the covid-19 pandemic has disrupted parasitology curricula worldwide which is expected to lead to the reshaping of parasitology education here we share our experiences of remote teaching and learning of veterinary parasitology and discuss opportunities offered by remote teaching during covid-19 lockdowns enabling the development of interactive online parasitology courses,Parasitology education before and after the COVID-19 pandemic,https://www.ncbi.nlm.nih.gov/pubmed/33191119/; https://api.elsevier.com/content/article/pii/S1471492220302944; https://www.sciencedirect.com/science/article/pii/S1471492220302944?v=s5; https://doi.org/10.1016/j.pt.2020.10.009
184782,0.0,0.6726999878883362,"student, education, learning, online, school, training, university, program, skill, educational","guest editors for the ""student perspectives during covid-19"" section were roger gonzales jaimee watts isley wayne r lawrence jennifer drey brady rowe emily q ritter ajph think tank; and paulina sosa ajph assistant editor",CONFLICTS OF INTEREST.,https://doi.org/10.2105/ajph.2021.111.1.62; https://www.ncbi.nlm.nih.gov/pubmed/33326272/
249827,0.0,0.670199990272522,"student, education, learning, online, school, training, university, program, skill, educational",it is with deep sadness that we offer our memorial on the unexpected demise of our dear colleague professor gjumrakch aliev [],"Health Science Community Will Miss This Bright and Uniting Star: In Memory of Professor Gjumrakch Aliev, M.D, Ph.D.",https://doi.org/10.3390/cancers13081965; https://www.ncbi.nlm.nih.gov/pubmed/33921833/
258705,0.0,0.6632000207901001,"student, education, learning, online, school, training, university, program, skill, educational","due to the covid-19 pandemic rice university canceled classes for the week of march 9-13 2020 and shifted all instruction to online only following spring break for the second half of the semester animal physiology was taught exclusively over zoom here we describe how a flipped teaching format that was used before the pandemic eased the transition from face-to-face teaching to online instruction the preclass preparation resources and the active learning materials that were already in place for flipped teaching were helpful in the transition to solely online teaching therefore the focus during the transition was to reconfigure active learning and examinations from the face-to-face format to the online platform instead of small group discussions in the classroom teams interacted in zoom breakout rooms rather than taking exams in-person during scheduled class time students submitted exams online additionally students prerecorded their project presentations instead of presenting them ""live"" during the last week of classes overall students felt that the class smoothly transitioned to a remote only format these and other changes to the instructional methods will be implemented during the spring 2021 semester when the course is taught fully online",Flipped teaching eased the transition from face-to-face teaching to online instruction during the COVID-19 pandemic.,https://doi.org/10.1152/advan.00248.2020; https://www.ncbi.nlm.nih.gov/pubmed/33961513/
88296,0.0,0.6626999974250793,"student, education, learning, online, school, training, university, program, skill, educational","despite the covid 19 pandemic it is still necessary to develop good assessment materials to assure the competence of our students our medical education department therefore changed its face-to-face workshops on ""how to create multiple choice questions (mcqs)"" into online ones it was our first time training faculty on the creation of questions online",Online faculty development using cognitive apprenticeship in response to COVID‐19,https://doi.org/10.1111/medu.14190; https://www.ncbi.nlm.nih.gov/pubmed/32324934/
171486,0.0,0.6506999731063843,"student, education, learning, online, school, training, university, program, skill, educational",background due to the outbreak of coronavirus disease 2019 (covid-19) school openings were postponed worldwide as a way to stop its spread most classes are moving online and this includes medical school classes the authors present their experience of running such online classes with offline clinical clerkship under pandemic conditions and also present data on student satisfaction academic performance and preference methods the medical school changed every first-year to fourth-year course to an online format except the clinical clerkship clinical skills training and basic laboratory classes such as anatomy lab sessions online courses were pre-recorded video lectures or live-streamed using video communication software at the end of each course students and professors were asked to report their satisfaction with the online course and comment on it the authors also compared students’ academic performance before and after the introduction of online courses results a total of 697% (318456) of students and 352% (44125) of professors answered the questionnaire students were generally satisfied with the online course and 622% of them preferred the online course to the offline course the majority (843%) of the students wanted to maintain the online course after the end of covid-19 in contrast just 136% of professors preferred online lectures and half (523%) wanted to go back to the offline course with the introduction of online classes students' academic achievement did not change significantly in four subjects but decreased in two subjects conclusions the inevitable transformation of medical education caused by covid-19 is still ongoing as the safety of students and the training of competent physicians are the responsibilities of medical schools further research into how future physicians will be educated is needed,How medical education survives and evolves during COVID-19: Our experience and future direction,https://doi.org/10.1371/journal.pone.0243958; https://www.ncbi.nlm.nih.gov/pubmed/33338045/
105764,0.0,0.6480000019073486,"student, education, learning, online, school, training, university, program, skill, educational",covid-19 has provided learning opportunities for medical students supervisors and the public,COVID-19: General practice education in the 'new normal'.,https://doi.org/10.31128/ajgp-covid-30; https://www.ncbi.nlm.nih.gov/pubmed/32757559/
151938,0.0,0.6241000294685364,"student, education, learning, online, school, training, university, program, skill, educational",the use of recorded video in medical education is increasing video material may be assigned before scheduled sessions to create a flipped classroom here the instructor may lead a session that is organized for discussion interpretation and reflection of the previewed content we established conditions that lead to increased student participation and engagement with prerecorded content for a medical genetics section in a first-year medical school basic sciences integrated course preliminary analysis of an asynchronous video-based pre-professional program directed the design of video material to support a first semester medical genetics course we compared student participation in and opinion of a flipped-classroom session based on written vs video presentation of material student opinion was surveyed with audience response devices (clickers) shorter videos that were created specifically for the course were preferred by students compared to recordings of previously delivered lectures students preferred videos to assigned reading material and consistent scheduling throughout the teaching semester increased student participation presentation of medical school content with previously recorded video material can be a useful teaching tool if properly implemented,Towards the optimal use of video recordings to support the flipped classroom in medical school basic sciences education,https://doi.org/10.1080/10872981.2020.1841406; https://www.ncbi.nlm.nih.gov/pubmed/33119431/
89824,0.0,0.6161999702453613,"student, education, learning, online, school, training, university, program, skill, educational",nowadays e-learning and virtual labs have gained substantial popularity in science education amid the covid-19 shutdowns regular in-person classroom teaching and lab courses are suspended in several countries worldwide in this scenario virtual classes and online resources could serve more effectively as a possible alternative way of learning science from home,Virtualization of science education: a lesson from the COVID-19 pandemic,https://www.ncbi.nlm.nih.gov/pubmed/33132627/; https://doi.org/10.1007/s42485-020-00038-7
168444,0.0,0.6139000058174133,"student, education, learning, online, school, training, university, program, skill, educational","the transition to online learning in spring 2020 was abrupt for both students and instructors while many instructors moved to asynchronous classes some institutions relied more heavily on synchronous online courses here we evaluate student perceptions of an inquiry-based molecular biology lecture and lab course following this transition by comparing student survey responses from spring 2019 when the lecture and lab were fully in person to spring 2020 when the lecture and lab started in person before transitioning to a synchronous online format students were asked to identify the main factors that supported their learning in lecture and lab characterize the main barriers to learning in those courses and discuss their preference of having an inquiry-based lab or a traditional ""cookbook"" lab with pre-determined answers we coded these responses and provide one of the first studies to examine the impact of this online transition on student perceptions of learning in an inquiry-based molecular biology lecture and lab course",Student perceptions of an inquiry-based molecular biology lecture and lab following a mid-semester transition to online teaching.,https://doi.org/10.1002/bmb.21478; https://www.ncbi.nlm.nih.gov/pubmed/33301654/
222145,0.0,0.6133999824523926,"student, education, learning, online, school, training, university, program, skill, educational",while education still faces huge challenges including the rapid shift to online learning teaching and assessment there may be some light at the end of the tunnel writes tom crick mbe fbcs professor of digital education & policy at swansea university,Covid-19 and Digital Education: a Catalyst For Change?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7928832/
113374,0.0,0.6100000143051147,"student, education, learning, online, school, training, university, program, skill, educational",online learning is an educational process which takes place over the internet as a form of distance education distance education became ubiquitous as a result of the covid-19 pandemic during 2020 because of these circumstances online teaching and learning had an indispensable role in early childhood education programs even though debates continue on whether or not it is beneficial for young children to be exposed extensively to information and communication technology (ict) this descriptive study demonstrates how a preservice teacher education course in early childhood education was redesigned to provide student teachers with opportunities to learn and teach online it reports experiences and reflections from a practicum course offered in the spring semester of 2020 in the usa it describes three phases of the online student teachers’ experiences–preparation implementation and reflection tasks accomplished in each phase are reported online teaching experiences provided these preservice teachers with opportunities to interact with children as well as to encourage reflection on how best to promote young children’s development and learning with online communication tools,Learning and Teaching Online During Covid-19: Experiences of Student Teachers in an Early Childhood Education Practicum,https://doi.org/10.1007/s13158-020-00272-6; https://www.ncbi.nlm.nih.gov/pubmed/32836369/
114565,0.0,0.6093999743461609,"student, education, learning, online, school, training, university, program, skill, educational",i first heard of dr elisabeth kübler-ross in medical school when learning how to deliver bad news […],Cancer and COVID-19: How Understanding Grief Helps the Pandemic Frontlines.,https://doi.org/10.3747/co.27.6777; https://www.ncbi.nlm.nih.gov/pubmed/33704170/
132467,0.0,0.607200026512146,"student, education, learning, online, school, training, university, program, skill, educational",the covid-19 pandemic has sped up a process that had already begun an increase in online teaching at all levels while face-to-face courses will resume at some point online learning is not only here to stay but is perhaps the future face of many facets of education this chapter offers both a student’s and teacher’s point of view—as the authors are both students in an online doctoral program and professors in higher education the chapter offers a series of questions designed to assist students and teachers as they develop strategies and prepare to move online,A Combined Students’ and Teachers’ Online Education Perspective—You May Ask Yourself: Some Key Questions to Consider Before Beginning an Online Course or Program,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7979021/
85834,0.0,0.6026999950408936,"student, education, learning, online, school, training, university, program, skill, educational",the transition from face-to-face teaching to online platform delivery for many institutions has presented positive examples of medical educators' problem-solving abilities however this has led to many online sessions following identical formats providing highly similar learning experiences for students' week-after-week with less variety than from face-to-face deliveries the use of serious games which are games primarily focussed on education to teach medical and health sciences has previously shown benefit1 and can be incorporated to break the monotony of online lectures and repetitive content delivery,"Enhancing variety through gamified, interactive learning experiences.",https://doi.org/10.1111/medu.14251; https://www.ncbi.nlm.nih.gov/pubmed/32438478/
215751,0.0,0.6021999716758728,"student, education, learning, online, school, training, university, program, skill, educational",background covid-19 pandemic compelled medical schools to opt for online mode in medical education the competency-based curriculum started in india last year onwards allotted more hours to practical teaching than lectures as the lockdown extended there was a need to shift laboratory teaching to online mode we describe our experience of developing and implementing a framework to rapidly shift practical lab teaching of preclinical subjects to online mode methods a mixed method study was conducted during the covid-19 lockdown period in a public funded medical institute of india a framework utilizing the principles of small group teaching using the available resources was developed and implemented online feedback was obtained from students while in-depth telephonic interview was conducted for teachers results a demonstrate-engage-assess framework for online practical teaching of preclinical subjects (deapp) was developed and implemented feedback was obtained from 103 first year students and six teachers from preclinical subjects around 62%-80% students were satisfied with online practical teaching or agreed with benefits of various online tools used in the teaching sessions teachers found the framework more planned and resource efficient while students found it to be more engaging enjoyable and motivated for learning no face-to-face interaction non-experiential learning and adaptation to newer technology were the main barriers perceived in online practical laboratory teaching conclusion deapp framework was found to be feasible for rapid online transition of practical lab teaching and reported by the students and teachers as engaging enjoyable and motivated learning,Rapid transition to online practical classes in preclinical subjects during COVID-19: Experience from a medical college in North India.,https://doi.org/10.1016/j.mjafi.2020.12.030; https://www.ncbi.nlm.nih.gov/pubmed/33612948/
150579,0.0,0.6000999808311462,"student, education, learning, online, school, training, university, program, skill, educational",teaching is about constantly innovating strategies ways and means to engage diverse students in active and meaningful learning in line with this sutd adopts various student-centric teaching and learning teaching methods and approaches this means that our graduateundergraduate instructors have to be ready to teach using these student student-centric teaching and learning pedagogies in this article i share my experiences of redesigning this teaching course that is typically conducted face-to-face to a synchronous online course and also invite one of the participant in this course to reflect on his experience as a student,Designing learning experiences for online teaching and learning,https://arxiv.org/pdf/2010.15602v1.pdf
142793,1.0,0.9236000180244446,"increase, lockdown, period, number, country, change, time, impact, decrease, level",in this study we characterize the impacts of covid-19 on air pollution using no(2) and aerosol optical depth (aod) from tropomi and modis satellite datasets for 41 cities in india specifically our results suggested a 13% no(2) reduction during the lockdown (march 25–may 3rd 2020) compared to the pre-lockdown (january 1st–march 24th 2020) period also a 19% reduction in no(2) was observed during the 2020-lockdown as compared to the same period during 2019 the top cities where no(2) reduction occurred were new delhi (6174%) delhi (6037%) bangalore (4825%) ahmedabad (4620%) nagpur (4613%) gandhinagar (4564) and mumbai (4308%) with less reduction in coastal cities the temporal analysis revealed a progressive decrease in no(2) for all seven cities during the 2020 lockdown period results also suggested spatial differences ie as the distance from the city center increased the no(2) levels decreased exponentially in contrast to the decreased no(2) observed for most of the cities we observed an increase in no(2) for cities in northeast india during the 2020 lockdown period and attribute it to vegetation fires the no(2) temporal patterns matched the aod signal; however the correlations were poor overall our results highlight covid-19 impacts on no(2) and the results can inform pollution mitigation efforts across different cities of india,Spatial and temporal variations of air pollution over 41 cities of India during the COVID-19 lockdown period,https://www.ncbi.nlm.nih.gov/pubmed/33024128/; https://doi.org/10.1038/s41598-020-72271-5
217422,1.0,0.8928999900817871,"increase, lockdown, period, number, country, change, time, impact, decrease, level",ron fricker assesses the impact of the pandemic in the united states by calculating the number of “excess deaths”,Covid‐19: One year on…,https://www.ncbi.nlm.nih.gov/pubmed/33821159/; https://doi.org/10.1111/1740-9713.01485
97417,1.0,0.8795999884605408,"increase, lockdown, period, number, country, change, time, impact, decrease, level",abstract restrictions enacted to reduce the spreading of covid-19 have resulted in notably clearer skies around the world in this study we confirm that reduced levels of air pollution correlate with unusually high levels of clear sky insolation in delhi india restrictions here were announced on march 19th with the nation going into lockdown on march 24th comparing insolation data before and after these dates with insolation from previous years (2017 to 2019) we observe an 83±17 % higher irradiance than usual in late march and a 59±16 % higher one in april while we find no significant differences to values from previous years in february or early march using results from a previous study we calculated the expected increase in insolation based on measured pm25 concentration levels measurements and calculations agree within confidence intervals suggesting that reduced pollution levels are a major cause for the observed increase in insolation,The Impact of COVID-19 related Measures on the Solar Resource in Areas with High Levels of Air Pollution,https://www.ncbi.nlm.nih.gov/pubmed/32835175/; https://www.sciencedirect.com/science/article/pii/S2542435120302725?v=s5; https://api.elsevier.com/content/article/pii/S2542435120302725; https://doi.org/10.1016/j.joule.2020.06.009
103256,1.0,0.85589998960495,"increase, lockdown, period, number, country, change, time, impact, decrease, level",the covid-19 pandemic has caused in general a sharp reduction in traffic and industrial activities this in turn leaded to a reduction in air pollution around the world it is important to quantity the amount of that reduction in order to estimate the influence weight of traffic and industrial activities over the total variation of air quality the aim of this paper is to evaluate the impact of the covid-19 outbreak on air pollution in israel which is considered one of the countries with a higher air pollution than other western countries the results reveal two main findings 1 during the covid-19 outbreak relative to its earlier closest period the pollution from transport based on nitrogen oxides had reduced by 40$\%$ on average whereas the pollution from industrial based on grand-level ozone had increased by 34$\%$ on average relative to 2019 the covid-19 outbreak caused a reduction in air pollution from transport and industrial as well 2 the explanation percent of the time period of covid-19 is at most 22$\%$ over the total variation of each pollutant amount,Impact of COVID-19 on Air Quality in Israel,https://arxiv.org/pdf/2007.06501v1.pdf
256363,1.0,0.8478999733924866,"increase, lockdown, period, number, country, change, time, impact, decrease, level",at the end of 2019 a novel coronavirus covid-19 emerged in wuhan china and later spread throughout the world including iraq to control the rapid dispersion of the virus iraq like other countries has imposed national lockdown measures such as social distancing restriction of automobile traffic and industrial enterprises this has led to reduced human activities and air pollutant emissions which caused improvement in air quality this study focused on the analysis of the impact of the six partial total and post-lockdown periods (1st partial lockdown from march 1 to16 2020 1st total lockdown from march 17 to april 21 2nd partial lockdown from april 22 to may 23 2nd total lockdown from may 24 to june 13 3rd partial lockdown from june 14 to august 19 and end partial lockdown from august 20 to 31) on the average of daily no(2) o(3) pm(25) and pm(10) concentrations as well as air quality index (aqi) in 18 iraqi provinces during these periods (from march 1st to august 31st 2020) the analysis showed a decline in the average of daily pm(25) pm(10) and no(2) concentrations by 24% 15% and 8% respectively from march 17 to april 21 2020 (first phase of total lockdown) in comparison to the 1st phase of partial lockdown (march 1 to march 16 2020) furthermore the o(3) increased by 10% over the same period the 2nd phase of total lockdown the 3rd partial lockdown and the post-lockdown periods witnessed declines in pm(25) by 8% 11% and 21% respectively while the pm(10) increases over the same period iraqi also witnessed improvement in the aqi by 8% during the 1st phase of total lockdown compared to the 1st phase of partial lockdown the level of air pollutants in iraq declined significantly during the six lockdown periods as a result of reduced human activities this study gives confidence that when strict measures are implemented air quality can improve,On the investigation of COVID-19 lockdown influence on air pollution concentration: regional investigation over eighteen provinces in Iraq,https://www.ncbi.nlm.nih.gov/pubmed/33956319/; https://doi.org/10.1007/s11356-021-13812-x
